episode_id,title,episode_type,season,episode_number,current_status,director,due_date,script_url,guest_name,recording_date,recording_location,material_status
"ORN-EP01","転職の約束","vtr",1,1,"編集中","田中ディレクター","2025-02-15","https://docs.google.com/document/d/dummy01",,,,"○"
"ORN-EP02","帰れない私たち","vtr",1,2,"素材確定","佐藤ディレクター","2025-02-20","https://docs.google.com/document/d/dummy02",,,,"○"
"ORN-EP03","動じない上司の秘密","vtr",1,3,"素材準備","田中ディレクター","2025-02-25","https://docs.google.com/document/d/dummy03",,,,"△"
"ORN-EP04","パワハラと寛容の間","vtr",1,4,"台本作成中","山田ディレクター","2025-03-01","https://docs.google.com/document/d/dummy04",,,,"×"
"ORN-EP05","頑張らない技術","vtr",1,5,"試写1","佐藤ディレクター","2025-02-10","https://docs.google.com/document/d/dummy05",,,,"○"
"ORN-EP06","エース社員の憂鬱","vtr",1,6,"修正1","田中ディレクター","2025-02-12","https://docs.google.com/document/d/dummy06",,,,"○"
"ORN-EP07","イノベーションという破壊","vtr",1,7,"MA中","鈴木ディレクター","2025-02-08","https://docs.google.com/document/d/dummy07",,,,"○"
"ORN-EP08","朝活の呪い","vtr",1,8,"初稿完成","山田ディレクター","2025-02-05","https://docs.google.com/document/d/dummy08",,,,"○"
"ORN-EP09","測れないものの価値","vtr",1,9,"修正中","佐藤ディレクター","2025-02-03","https://docs.google.com/document/d/dummy09",,,,"○"
"ORN-EP10","カリスマはもういらない","vtr",1,10,"完パケ納品","田中ディレクター","2025-01-25","https://docs.google.com/document/d/dummy10",,,,"○"
"ORN-EP11","知ったかぶりの効用","vtr",1,11,"編集中","鈴木ディレクター","2025-02-18","https://docs.google.com/document/d/dummy11",,,,"○"
"ORN-EP12","瞑想アプリの違和感","vtr",1,12,"素材確定","山田ディレクター","2025-02-22","https://docs.google.com/document/d/dummy12",,,,"△"
"ORN-SP01","正しい会社なんてない（特別編）","vtr",1,13,"素材準備","佐藤ディレクター","2025-03-05","https://docs.google.com/document/d/dummy13",,,,"×"
