episode_id,title,episode_type,season,episode_number,current_status,director,due_date,script_url,guest_name,recording_date,recording_location,material_status
"ORN-EP01","転職の約束","vtr",1,1,"完パケ納品","田中ディレクター","2025-08-15","https://docs.google.com/document/d/dummy01",,,,"○"
"ORN-EP02","帰れない私たち","vtr",1,2,"完パケ納品","佐藤ディレクター","2025-08-20","https://docs.google.com/document/d/dummy02",,,,"○"
"ORN-EP03","動じない上司の秘密","vtr",1,3,"初稿完成","田中ディレクター","2025-08-25","https://docs.google.com/document/d/dummy03",,,,"○"
"ORN-EP04","パワハラと寛容の間","vtr",1,4,"修正中","山田ディレクター","2025-09-01","https://docs.google.com/document/d/dummy04",,,,"○"
"ORN-EP05","頑張らない技術","vtr",1,5,"MA中","佐藤ディレクター","2025-09-10","https://docs.google.com/document/d/dummy05",,,,"○"
"ORN-EP06","エース社員の憂鬱","vtr",1,6,"試写1","田中ディレクター","2025-09-12","https://docs.google.com/document/d/dummy06",,,,"○"
"ORN-EP07","イノベーションという破壊","vtr",1,7,"修正1","鈴木ディレクター","2025-09-18","https://docs.google.com/document/d/dummy07",,,,"○"
"ORN-EP08","朝活の呪い","vtr",1,8,"編集中","山田ディレクター","2025-10-05","https://docs.google.com/document/d/dummy08",,,,"○"
"ORN-EP09","測れないものの価値","vtr",1,9,"素材確定","佐藤ディレクター","2025-10-15","https://docs.google.com/document/d/dummy09",,,,"○"
"ORN-EP10","カリスマはもういらない","vtr",1,10,"素材準備","田中ディレクター","2025-10-25","https://docs.google.com/document/d/dummy10",,,,"△"
"ORN-EP11","知ったかぶりの効用","vtr",1,11,"台本作成中","鈴木ディレクター","2025-11-05","https://docs.google.com/document/d/dummy11",,,,"×"
"ORN-EP12","瞑想アプリの違和感","vtr",1,12,"台本作成中","山田ディレクター","2025-11-15","https://docs.google.com/document/d/dummy12",,,,"×"
"ORN-SP01","正しい会社なんてない（特別編）","vtr",1,13,"台本作成中","佐藤ディレクター","2025-11-25","https://docs.google.com/document/d/dummy13",,,,"×"
"ORN-SP02","スペシャリストかゼネラリストか（特別編）","vtr",1,14,"台本作成中","田中ディレクター","2025-12-05","https://docs.google.com/document/d/dummy14",,,,"×"
"ORN-SP03","知れば知るほど分からない（特別編）","vtr",1,15,"台本作成中","鈴木ディレクター","2025-12-15","https://docs.google.com/document/d/dummy15",,,,"×"
"S2-EP01","既読スルーの哲学","vtr",2,1,"台本作成中","山田ディレクター","2026-01-10","https://docs.google.com/document/d/dummy16",,,,"×"
"S2-EP02","雑談ができない私たち","vtr",2,2,"台本作成中","佐藤ディレクター","2026-01-20","https://docs.google.com/document/d/dummy17",,,,"×"
"S2-EP03","褒められない、褒めない","vtr",2,3,"台本作成中","田中ディレクター","2026-01-30","https://docs.google.com/document/d/dummy18",,,,"×"
"S2-EP04","会議で発言できない人へ","vtr",2,4,"台本作成中","鈴木ディレクター","2026-02-10","https://docs.google.com/document/d/dummy19",,,,"×"
"S2-EP05","SNS疲れの処方箋","vtr",2,5,"台本作成中","山田ディレクター","2026-02-20","https://docs.google.com/document/d/dummy20",,,,"×"
"S2-EP06","板挟みの美学","vtr",2,6,"台本作成中","佐藤ディレクター","2026-03-01","https://docs.google.com/document/d/dummy21",,,,"×"
"S2-EP07","ナンバー2の矜持","vtr",2,7,"台本作成中","田中ディレクター","2026-03-10","https://docs.google.com/document/d/dummy22",,,,"×"
"S2-EP08","派閥という生き物","vtr",2,8,"台本作成中","鈴木ディレクター","2026-03-20","https://docs.google.com/document/d/dummy23",,,,"×"
"S2-EP09","異動という名の流刑","vtr",2,9,"台本作成中","山田ディレクター","2026-03-30","https://docs.google.com/document/d/dummy24",,,,"×"
"S2-EP10","退職という決断","vtr",2,10,"台本作成中","佐藤ディレクター","2026-04-10","https://docs.google.com/document/d/dummy25",,,,"×"
"S2-EP11","締切前夜の心理学","vtr",2,11,"台本作成中","田中ディレクター","2026-04-20","https://docs.google.com/document/d/dummy26",,,,"×"
"S2-EP12","休めない症候群","vtr",2,12,"台本作成中","鈴木ディレクター","2026-04-30","https://docs.google.com/document/d/dummy27",,,,"×"
"S2-SP01","会議という時間（特別編）","vtr",2,13,"台本作成中","山田ディレクター","2026-05-10","https://docs.google.com/document/d/dummy28",,,,"×"
